Downloaded from wid.world on 21-02-2026 at 17:11:34
Percentile ;Year ;"npopul_999_i_US
Population
Total population | units | all ages | individual
USA";"npopul_999_i_JP
Population
Total population | units | all ages | individual
Japan";"npopul_999_i_DE
Population
Total population | units | all ages | individual
Germany";"npopul_999_i_FR
Population
Total population | units | all ages | individual
France";"npopul_999_i_GB
Population
Total population | units | all ages | individual
United Kingdom";"npopul_999_i_IT
Population
Total population | units | all ages | individual
Italy";"npopul_999_i_CA
Population
Total population | units | all ages | individual
Canada";"npopul_999_i_BR
Population
Total population | units | all ages | individual
Brazil";"npopul_999_i_RU
Population
Total population | units | all ages | individual
Russian Federation";"npopul_999_i_IN
Population
Total population | units | all ages | individual
India";"npopul_999_i_CN
Population
Total population | units | all ages | individual
China";"npopul_999_i_ZA
Population
Total population | units | all ages | individual
South Africa";"npopul_999_i_MX
Population
Total population | units | all ages | individual
Mexico";"npopul_999_i_BD
Population
Total population | units | all ages | individual
Bangladesh";"npopul_999_i_NG
Population
Total population | units | all ages | individual
Nigeria";"npopul_999_i_ET
Population
Total population | units | all ages | individual
Ethiopia";"npopul_999_i_KE
Population
Total population | units | all ages | individual
Kenya";"npopul_999_i_TZ
Population
Total population | units | all ages | individual
Tanzania"
pall;1980;229858655;118358756;78315375;55274184;56282103;56412084;24533776;121207461;138572623;687354025;983163542;29518857;67300334;88016432;73764641;34428514;16018459;19189769
pall;1981;232201617;118994053;78448040;55603352;56304592;56646750;24844974;124063109;139351498;703696250;997721071;30541044;68892108;90303105;76068103;35304012;16601507;19784703
pall;1982;234583152;119485775;78393674;55951076;56292755;56719175;25140164;126923155;140247748;720313473;1013588179;31615339;70433260;92814507;78378701;36701290;17206175;20398571
pall;1983;236986365;119948947;78224133;56284240;56332058;56766111;25412608;129790077;141331278;737372681;1029064956;32739304;71971240;95335155;80438260;37740817;17846374;21079874
pall;1984;239353967;120384394;77998198;56600528;56451313;56810353;25670375;132658864;142464239;754875449;1043849638;33892788;73506846;97814966;82526443;38735722;18514906;21779066
pall;1985;241690443;120832163;77863424;56921296;56606414;56855501;25927465;135515595;143569389;772647793;1059807820;35042093;75043414;100253825;84897973;39842136;19201768;22501693
pall;1986;243953807;121366735;77923807;57237984;56751923;56875988;26211031;138336370;144807813;790689978;1077233607;36180515;76585637;102635572;87235953;41037656;19901646;23258959
pall;1987;246161291;121943587;78062324;57565184;56886024;56891926;26540921;141104944;146147383;808931270;1096217446;37326190;78136651;104959291;89591716;42460039;20616096;24030378
pall;1988;248393235;122476952;78385992;57910872;57026546;56928751;26927945;143826357;147364489;827342990;1115244165;38480649;79695531;107216008;92020090;44150825;21356219;24769686
pall;1989;250675053;122947413;79007065;58266768;57182136;56976755;27366050;146502972;148281866;846039529;1133991008;39628575;81247182;109433799;94531014;45879690;22118434;25438759
