Downloaded from wid.world on 21-02-2026 at 17:16:34
Percentile ;Year ;"gptinc_999_j_US
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
USA";"gptinc_999_j_JP
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Japan";"gptinc_999_j_DE
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Germany";"gptinc_999_j_FR
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
France";"gptinc_999_j_GB
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
United Kingdom";"gptinc_999_j_IT
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Italy";"gptinc_999_j_CA
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Canada";"gptinc_999_j_BR
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Brazil";"gptinc_999_j_RU
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Russian Federation";"gptinc_999_j_IN
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
India";"gptinc_999_j_CN
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
China";"gptinc_999_j_ZA
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
South Africa";"gptinc_999_j_MX
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Mexico";"gptinc_999_j_BD
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Bangladesh";"gptinc_999_j_NG
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Nigeria";"gptinc_999_j_ET
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Ethiopia";"gptinc_999_j_KE
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Kenya";"gptinc_999_j_TZ
Pre-tax national income 
Total population | Gini coefficient | all ages | equal split
Tanzania"
pall;1980;0.454;0.454;0.4034;0.4075;0.408;0.3474;0.4204;0.6917;0.3362;0.4405;0.3847;0.5849;0.6966;0.4732;0.5637;0.6651;0.7437;0.5458000000000001
pall;1981;0.4605;0.4486;0.3997;0.4054;0.408;0.3409;0.411;0.6917;0.3366;0.4348;0.3894;0.5849;0.6966;0.4732;0.5637;0.6651;0.7437;0.5458000000000001
pall;1982;0.4677;0.4467;0.3963;0.4031;0.4088;0.3443;0.4085;0.6917;0.3369;0.4302;0.3916;0.5849;0.6966;0.4732;0.5637;0.6651;0.7437;0.5458000000000001
pall;1983;0.4803;0.4501;0.4003;0.4042;0.414;0.3424;0.4136;0.6917;0.3373;0.4722;0.3943;0.5849;0.6966;0.4732;0.5637;0.6651;0.7437;0.5458000000000001
pall;1984;0.4889;0.454;0.397;0.4069;0.4207;0.3484;0.4145;0.6917;0.3377;0.4576;0.3992;0.5849;0.6966;0.4836;0.5637;0.6651;0.7437;0.5458000000000001
pall;1985;0.4908;0.4621;0.3995;0.4087;0.4236;0.3541;0.4172;0.6917;0.338;0.4695;0.4067;0.5849;0.6966;0.4936;0.5637;0.6651;0.7437;0.5458000000000001
pall;1986;0.4923;0.4692;0.4049;0.415;0.4251;0.3703;0.4279;0.6917;0.3382;0.4722;0.4165;0.5849;0.6966;0.4994;0.5695;0.6651;0.7437;0.5458000000000001
pall;1987;0.5003000000000001;0.4844;0.4116;0.4186;0.4292;0.374;0.4295;0.6917;0.3383;0.4678;0.4203;0.5849;0.6966;0.505;0.5753;0.6651;0.7437;0.5458000000000001
pall;1988;0.5145000000000001;0.4907;0.4253;0.4213;0.4367;0.3816;0.435;0.6917;0.3385;0.4754;0.4238;0.5849;0.6966;0.5105000000000001;0.5811000000000001;0.6651;0.7437;0.5458000000000001
pall;1989;0.5111;0.4965;0.4355;0.4301;0.4354;0.3849;0.4441;0.6917;0.3405;0.4755;0.4327;0.5849;0.6966;0.5043;0.5869;0.6651;0.7437;0.5458000000000001
pall;1990;0.5126000000000001;0.4987;0.4371;0.4332;0.46;0.3911;0.4498;0.6917;0.3255;0.4607;0.4295;0.5849;0.6966;0.4983;0.5927;0.6651;0.7437;0.5458000000000001
pall;1991;0.5114000000000001;0.4873;0.4265;0.4274;0.4659;0.3882;0.4571;0.6917;0.3355;0.4648;0.4447;0.6025;0.6966;0.4925;0.5985;0.6651;0.7437;0.5458000000000001
pall;1992;0.5236000000000001;0.453;0.4205;0.4282;0.4668;0.3923;0.4593;0.6917;0.4354;0.4717;0.4594;0.5993;0.6966;0.5087;0.6042000000000001;0.6651;0.7437;0.5481
