Downloaded from wid.world on 21-02-2026 at 17:02:42
Percentile ;Year ;"shweal_z_US
Net personal wealth
Top 10% | share | adults | equal split
USA";"shweal_z_JP
Net personal wealth
Top 10% | share | adults | equal split
Japan";"shweal_z_DE
Net personal wealth
Top 10% | share | adults | equal split
Germany";"shweal_z_FR
Net personal wealth
Top 10% | share | adults | equal split
France";"shweal_z_GB
Net personal wealth
Top 10% | share | adults | equal split
United Kingdom";"shweal_z_IT
Net personal wealth
Top 10% | share | adults | equal split
Italy";"shweal_z_CA
Net personal wealth
Top 10% | share | adults | equal split
Canada";"shweal_z_BR
Net personal wealth
Top 10% | share | adults | equal split
Brazil";"shweal_z_RU
Net personal wealth
Top 10% | share | adults | equal split
Russian Federation";"shweal_z_IN
Net personal wealth
Top 10% | share | adults | equal split
India";"shweal_z_CN
Net personal wealth
Top 10% | share | adults | equal split
China";"shweal_z_ZA
Net personal wealth
Top 10% | share | adults | equal split
South Africa";"shweal_z_MX
Net personal wealth
Top 10% | share | adults | equal split
Mexico";"shweal_z_BD
Net personal wealth
Top 10% | share | adults | equal split
Bangladesh";"shweal_z_NG
Net personal wealth
Top 10% | share | adults | equal split
Nigeria";"shweal_z_ET
Net personal wealth
Top 10% | share | adults | equal split
Ethiopia";"shweal_z_KE
Net personal wealth
Top 10% | share | adults | equal split
Kenya";"shweal_z_TZ
Net personal wealth
Top 10% | share | adults | equal split
Tanzania"
p90p100;1980;0.6499;0.5716;0.6226;0.5156000000000001;0.5826;0.4457;0.5558000000000001;0.7146;0.4997;0.4507;0.4081;0.8634000000000001;0.6677000000000001;0.5731;0.5894;0.7114;0.7272000000000001;0.5880000000000001
p90p100;1981;0.6459;0.5700000000000001;0.5745;0.5086;0.6016;0.4456;0.5549000000000001;0.7147;0.4996;0.45;0.4081;0.8635;0.6676000000000001;0.5731;0.5894;0.7115;0.7271000000000001;0.5880000000000001
p90p100;1982;0.6354000000000001;0.5698;0.5351;0.5019;0.5772;0.4456;0.5546;0.7146;0.4996;0.4543;0.4081;0.8634000000000001;0.6676000000000001;0.5731;0.5895;0.7112;0.7272000000000001;0.5881000000000001
p90p100;1983;0.6301;0.5704;0.5045000000000001;0.4998;0.5708;0.4456;0.5548000000000001;0.7148;0.4995;0.4662;0.4081;0.8635;0.6678000000000001;0.5731;0.5894;0.7118;0.7274;0.5881000000000001
p90p100;1984;0.6324000000000001;0.5717;0.5008;0.4997;0.5285000000000001;0.4457;0.555;0.7147;0.4995;0.4679;0.4081;0.8634000000000001;0.6677000000000001;0.5762;0.5894;0.7114;0.7271000000000001;0.5880000000000001
p90p100;1985;0.6271;0.5743;0.4973;0.5011;0.5519000000000001;0.4461;0.5557;0.7146;0.4994;0.4749;0.4081;0.8634000000000001;0.6679;0.5783;0.5894;0.7117;0.7273000000000001;0.5880000000000001
p90p100;1986;0.6292;0.5760000000000001;0.4943;0.5053;0.5498000000000001;0.4464;0.5567;0.7147;0.4993;0.4808;0.4081;0.8633000000000001;0.6674;0.5794;0.5909;0.7116;0.7271000000000001;0.5879
p90p100;1987;0.6334000000000001;0.5795;0.4971;0.5049;0.5670000000000001;0.4465;0.5575;0.7151000000000001;0.4993;0.4847;0.4081;0.8635;0.6677000000000001;0.5805;0.5922000000000001;0.7113;0.7273000000000001;0.5880000000000001
p90p100;1988;0.646;0.5870000000000001;0.5019;0.5059;0.5458000000000001;0.4466;0.5643;0.7150000000000001;0.4992;0.493;0.4081;0.8635;0.6674;0.5811000000000001;0.5940000000000001;0.7115;0.7272000000000001;0.5880000000000001
p90p100;1989;0.6482;0.5872;0.5067;0.5084000000000001;0.5467000000000001;0.4467;0.5640000000000001;0.7149;0.4992;0.4979;0.4081;0.8634000000000001;0.6675;0.5804;0.5964;0.7113;0.7271000000000001;0.5880000000000001
p90p100;1990;0.6509;0.5892000000000001;0.5088;0.5042;0.5163;0.4467;0.5639000000000001;0.7151000000000001;0.4991;0.4994;0.4083;0.8634000000000001;0.6673;0.5791000000000001;0.5989;0.7116;0.7273000000000001;0.5879
p90p100;1991;0.6517000000000001;0.5859;0.5165000000000001;0.5081;0.5163;0.4467;0.5661;0.7150000000000001;0.4998;0.5056;0.4085;0.8739;0.6676000000000001;0.5778;0.6018;0.7113;0.7273000000000001;0.5880000000000001
p90p100;1992;0.6649;0.5751000000000001;0.5282;0.5118;0.5402;0.4467;0.5636;0.7148;0.5052;0.5082;0.4084;0.8709;0.6675;0.5809000000000001;0.6041000000000001;0.7112;0.7272000000000001;0.5888
