Downloaded from wid.world on 21-02-2026 at 16:36:36
Percentile ;Year ;"agdpro_992_i_US
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
USA";"agdpro_992_i_JP
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Japan";"agdpro_992_i_DE
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Germany";"agdpro_992_i_FR
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
France";"agdpro_992_i_GB
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
United Kingdom";"agdpro_992_i_IT
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Italy";"agdpro_992_i_CA
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Canada";"agdpro_992_i_BR
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Brazil";"agdpro_992_i_RU
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Russian Federation";"agdpro_992_i_IN
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
India";"agdpro_992_i_CN
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
China";"agdpro_992_i_ZA
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
South Africa";"agdpro_992_i_MX
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Mexico";"agdpro_992_i_BD
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Bangladesh";"agdpro_992_i_NG
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Nigeria";"agdpro_992_i_ET
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Ethiopia";"agdpro_992_i_KE
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Kenya";"agdpro_992_i_TZ
Gross domestic product
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2024)
Tanzania"
pall;1980;39270.2797;26218.9811;36016.0297;36260.7882;29048.428;37251.8469;40350.3263;20318.224;22651.2726;2424.3092;2384.414;18770.1914;31810.9168;2626.4911;7456.5266;1616.1958;7846.9147;2699.7835
pall;1981;39533.9345;27091.1735;35915.1796;36292.5452;28672.7857;37155.4994;40775.4012;18852.619;22841.1421;2505.5081;2467.7783;18960.5159;33383.135;2613.7059;7195.2767;1601.4829;7830.5079;2622.5522
pall;1982;38148.4719;27774.7387;35534.928;36839.833;29096.3426;36979.6763;38601.6649;18431.7482;22927.5218;2537.8908;2609.3996;18102.6947;31874.3957;2619.9257;6535.7297;1572.7672;7802.6448;2571.8313
pall;1983;39235.8013;28536.5085;35864.1378;36937.8739;30120.5533;37078.0218;38785.1675;17355.6767;23338.3874;2629.8796;2697.0444;17024.4211;29360.0912;2679.1805;5698.563;1695.786;7582.2529;2437.089
pall;1984;41409.508;29589.4888;36638.0181;37121.6883;30542.3393;37901.8594;40275.4454;17752.9827;23420.2044;2678.6828;2898.209;17143.2102;29305.5914;2710.5999;5514.6816;1992.3933;7389.513;2445.6911
pall;1985;42510.9824;30860.79;37218.7366;37350.2195;31534.0823;38557.7549;41412.6879;18594.9167;23801.6071;2738.2434;3068.0471;16267.118;29054.6819;2733.8507;5695.0224;1618.7843;7381.3787;2477.3767
pall;1986;43418.8471;31620.0435;37740.1595;37857.9349;32289.1057;39265.8202;41562.9233;19431.9069;24443.8514;2799.3645;3152.2944;15676.4806;27011.6475;2772.7793;5561.5575;1750.1806;7584.5643;2440.9281
pall;1987;44399.1369;32795.8435;37919.7543;38457.3595;33803.2847;40133.3916;42511.8684;19578.9536;24461.9514;2842.8719;3299.252;15432.2868;26603.8234;2790.6245;5601.1161;1835.4641;7709.0349;2475.2492
pall;1988;45752.5012;34600.1195;38925.7892;39891.0716;35569.6302;41421.8728;43593.1131;19058.7425;24942.7165;3001.9408;3354.5146;15501.5682;26067.3443;2788.4072;5861.957;1708.3661;7850.8049;2495.3768
pall;1989;46928.3049;35846.0027;39960.286;41207.7481;36323.9648;42428.6375;43762.5274;19160.9665;25244.2162;3123.6075;3285.5083;15301.1185;26309.7022;2840.0528;5821.9463;1645.8608;7876.8922;2527.8139
